Rank	Name of dam	Reservoir	River	Country	Year	Nominal volume km³	Ref.
1	Kariba Dam	Lake Kariba	Zambezi River	 Zimbabwe	1959	180.6	,[1] 160.3[2]
2	Bratsk Dam	Bratsk Reservoir	Angara River	 Russia	1964	169	,[1] 169.3[2]
3	Aswan High Dam	Lake Nasser	Nile River	 Egypt	1971	157	[1][2]
4	Akosombo Dam	Lake Volta	Volta River	 Ghana	1965	150	,[1] 148[2]
5	Daniel-Johnson Dam	Manicouagan Reservoir	Manicouagan River	 Canada	1968	141.851	,[1] 141.7[2]
6	Guri Dam	Lake Guri	Caroní River	 Venezuela	1986	135	[1]
7	W. A. C. Bennett Dam	Williston Lake	Peace River	 Canada	1967	74.3	[1]
8	Krasnoyarsk Dam	Krasnoyarsk Reservoir (ru)	Yenisei River	 Russia	1967	73.3	[1][2]
9	Zeya Hydroelectric Station (ru)	Zeya Reservoir	Zeya River	 Russia	1978	68.4	[1][2]
10	Sanmenxia Dam	Sanmenxia Reservoir	Yellow River	 People's Republic of China	1962	65	[1][2]
11	Robert-Bourassa generating station	Robert-Bourassa Reservoir	La Grande River	 Canada	1981	61.715	[1]
12	La Grande-3 generating station	La Grande-3 Nord Reservoir	La Grande River	 Canada	1981	60.02	[1]
13	Ust-Ilimsk Dam	Ust-Ilimsk Reservoir	Angara River	 Russia	1977	59.3	[1][2]
14	Boguchany Dam	Boguchany Reservoir	Angara River	 Russia	1989	58.2	[1]
15	Zhiguli Hydroelectric Station	Kuybyshev Reservoir	Volga River	 Russia	1955	58	[1][2]
16	Cahora Bassa Dam	Cahora Bassa	Zambezi River	 Mozambique	1974	55.8	[1]
17	Serra da Mesa Dam	Serra da Mesa Reservoir	Tocantins River	 Brazil	1998	54.4	[3]
18	Brisay generating station	Caniapiscau Reservoir	Caniapiscau River	 Canada	1981	53.8	[1]
19	Pati–Chapetón(proposal)		Paraná River	 Argentina	 ?	53.7	[1]
20	Bukhtarma Hydroelectric Power Plant	Bukhtarma Reservoir (ru)	Irtysh River	 Kazakhstan	1967	53	[1][2]
21	Dantsianhow			 People's Republic of China	1962	51.6	[1]
22	Atatürk Dam	Lake Atatürk Dam	Euphrates	 Turkey	1992	48.7	[1]
23	Irkutsk Dam	Irkutsk Reservoir	Angara River	 Russia	1956	46	[1]
24	Tucuruí Dam		Tocantins River	 Brazil	1984	45.536	[1]
25	Lower Kama Hydroelectric Station	Lower Kama Reservoir	Kama River	 Russia	1987	45	[1]
26	Loma de la Lata Dam? (Cerros Colorados Complex)[verification needed]	Los Barreales Lake?[verification needed]	Neuquén River	 Argentina	1973	43.5	[1]
27	Planicie Banderita hydroelectric power plant (Cerros Colorados Complex)	Mari Menuco Lake?[verification needed]	Neuquén River	 Argentina	1979	43	[1]
28	Three Gorges Dam	Three Gorges Reservoir	Yangtze River	 People's Republic of China	2009	39.3	[1]
29	Hoover Dam	Lake Mead	Colorado River	 United States	1936	37.2968	[1]
30	Winar Grue?[verification needed]			 Canada	1952	37	[1]
31	Roseires Dam	Roseires Reservoir	Blue Nile	 Sudan	1966	36.3	[1]
32	Vilyuy Dam (ru)	Vilyuy Reservoir (ru)	Vilyuy River	 Russia	1967	35.9	[1]
33	Glen Canyon Dam	Lake Powell	Colorado River	 United States	1964	35.55019	[1]
34	Kenney Dam	Nechako Reservoir	Nechako–Kemano	 Canada	1966	35	[1]
35	Sobradinho Dam	Sobradinho Reservoir	São Francisco River	 Brazil	1979	34.1	[1]
36	Churchill Falls	Smallwood Reservoir	Churchill River	 Canada	1971	32.64	[1]
37	Jenpeg Dam		Lake Winnipeg outlet	 Canada	1975	31.79	[1]
38	Keban Dam	Keban Dam Lake	Euphrates	 Turkey	1971	31.5	[1]
39	Volga Hydroelectric Station	Volgograd Reservoir	Volga River	 Russia	1958	31.5	[1]
40	Sayano–Shushenskaya Dam	Sayano–Shushenskoye Reservoir (ru)	Yenisei River	 Russia	1990	31.3	[1]
41	Garrison Dam	Lake Sakakawea	Missouri River	 United States	1953	30.22031	[1]
42	Kossou Dam	Lake Kossou	Bandama River	 Ivory Coast	1961	30	[1]
43	Iroquois Dam		St. Lawrence River	 Canada	1958	29.95901	[1]
44	Oahe Dam	Lake Oahe	Missouri River	 United States	1966	29.11018	[1]
45	Itaipu Dam	Lake Itaipu (pt)	Paraná River	 Brazil and  Paraguay	1983	29	[1]
